UF,BA
Cidade,WAGNER
Nome Posto,WAGNER (ITACIRA)
Latitude,-12.2875
Longitude,-41.169999999999995
Codigo,1241018
Qtd. Anos,53
Ano,Maxima
1937,25.2
1938,124.4
1939,48.6
1940,45.5
1941,110.5
1942,133.9
1943,72.3
1944,50.4
1945,69.2
1947,47.5
1948,207.6
1949,127.5
1950,58.5
1951,90.6
1952,59.5
1953,65
1954,55.5
1955,53.3
1956,53.2
1957,53.2
1958,98.1
1959,36.9
1960,80.6
1961,40.1
1962,53.4
1963,78.4
1964,69.1
1965,36
1966,74.2
1967,43.1
1968,96
1969,73.6
1970,81.7
1971,127.4
1972,79.3
1973,86.2
1974,81.4
1975,82.2
1976,93.4
1977,72.5
1978,90.4
1979,115
1980,75.6
1981,75.5
1982,29.6
1983,79.4
1984,61.6
1985,120.6
1986,80
1987,92.4
1988,103.2
1989,84
1990,125
