UF,BA
Cidade,ITUACU
Nome Posto,ITUACU
Latitude,-13.816666666666666
Longitude,-41.3
Codigo,1341013
Qtd. Anos,106
Ano,Maxima
1911,42.5
1912,74.4
1913,48.2
1914,62.5
1915,63.5
1916,67.7
1917,68.7
1918,50.7
1919,70.3
1920,78.3
1921,84.6
1922,54.6
1923,68.3
1924,96.8
1925,74.2
1926,180.6
1927,72.3
1928,102.6
1929,96.3
1930,84.3
1931,61.5
1932,84.2
1933,83.2
1934,80.1
1935,82.5
1936,84.6
1937,50.3
1938,70.8
1939,90.5
1940,95.3
1941,70.5
1942,108
1943,50
1944,50
1945,102
1946,50
1947,84
1948,80
1949,66
1950,50.3
1951,120
1952,55
1953,80
1954,83.3
1955,90.4
1956,70
1957,85.3
1958,111
1959,85.3
1960,61
1961,74
1962,69
1963,71
1964,116
1965,61
1966,59
1967,93
1968,78
1969,93.8
1970,70.8
1971,53.4
1972,49.9
1973,90.3
1974,55.3
1975,62.1
1976,33.2
1977,54.5
1978,104
1979,80.2
1981,80
1984,80
1985,109.4
1986,44.1
1987,58.6
1988,78.9
1989,81.6
1990,47.9
1991,81.3
1992,63.5
1993,30.8
1994,93.8
1995,67.1
1996,35.6
1997,76.1
1998,48.5
1999,102.4
2000,57.5
2001,28.4
2002,64.9
2003,45.3
2004,76.9
2005,60.4
2006,108.4
2007,62.7
2008,55.9
2009,103.7
2010,105.3
2011,56.2
2012,111.2
2013,68.7
2014,62.6
2015,63.1
2016,72.5
2017,50.5
2018,53.5
2019,76.1
