UF,BA
Cidade,URANDI
Nome Posto,URANDI
Latitude,-14.766666666666667
Longitude,-42.666666666666664
Codigo,1442004
Qtd. Anos,84
Ano,Maxima
1935,60.3
1936,80.3
1937,108.6
1938,32.8
1939,59.6
1940,73.2
1941,41
1942,80.5
1943,45.5
1944,65
1945,82.4
1946,38.3
1947,72.5
1948,83
1950,119
1951,43.7
1952,65.6
1953,93.8
1954,74.4
1955,61.8
1956,106.8
1957,70.5
1958,99
1959,77.4
1960,87.2
1961,73.7
1962,47
1963,57.6
1964,70.7
1965,62.4
1966,67
1967,83.2
1968,135.2
1969,56.6
1970,70.4
1971,114
1972,106.2
1973,106.2
1974,70.5
1975,98
1976,74
1977,53
1978,89
1979,71
1980,99
1981,105
1982,55.4
1983,95
1984,56.3
1985,106
1986,48
1987,60
1988,55
1989,89
1990,40
1991,66.6
1992,88.3
1993,52.7
1994,56.5
1995,200
1996,51.5
1997,44
1998,44.2
1999,60.3
2000,72.3
2001,64.7
2002,110
2003,43.3
2004,69.9
2005,68.7
2006,108.2
2007,81.3
2008,81.8
2009,56.9
2010,56.1
2011,53.6
2012,100
2013,75.9
2014,52.3
2015,45.4
2016,80.8
2017,101.8
2018,59.1
2019,54.7
