UF,BA
Cidade,ARATUIPE
Nome Posto,ARATUIPE
Latitude,-13.566944444444443
Longitude,-39.00194444444445
Codigo,1339020
Qtd. Anos,63
Ano,Maxima
1956,75.6
1957,75
1958,25
1959,29
1960,37
1961,75
1963,80.2
1964,32
1965,75
1966,76
1967,52.5
1968,72
1969,75
1970,90
1971,95
1972,66
1973,124
1974,69
1975,90
1976,53
1977,50
1978,80
1979,53
1980,90
1981,66.2
1982,100
1983,83.2
1984,99.1
1985,99.2
1986,90
1987,67.5
1988,76.4
1989,87.2
1990,60
1991,125
1992,89.4
1993,61.7
1994,90
1995,150.4
1996,101.4
1997,74.3
1998,136.4
1999,61
2000,88.6
2001,62.3
2002,56.7
2003,82.7
2004,114.4
2005,138.5
2006,81
2007,80.2
2008,110.5
2009,80.7
2010,87.2
2011,140.4
2012,54.3
2013,74.2
2014,91.5
2015,90.2
2016,40.2
2017,71.5
2018,42
2019,34.7
