UF,BA
Cidade,MANOEL VITORINO
Nome Posto,CATINGAL (BOA ESPERANCA)
Latitude,-14.033333333333333
Longitude,-40.56666666666667
Codigo,1440017
Qtd. Anos,38
Ano,Maxima
1959,81.2
1960,43.4
1961,64.2
1962,50.1
1963,96.3
1964,70.1
1965,50.2
1966,76.2
1967,60.7
1968,57.8
1969,62.5
1970,59.3
1971,80
1972,65.7
1973,100.4
1974,117.5
1975,85.7
1976,51
1977,39.1
1978,72.1
1979,51.9
1980,146.3
1981,58.5
1982,62.3
1983,51.7
1984,53.7
1985,114.6
1986,67.6
1987,66.7
1988,100
1989,91.2
1990,94.9
1991,80
1994,90.1
1995,75.1
1996,28.4
1997,69.9
1998,8.5
