UF,BA
Cidade,SANTA MARIA DA VITORIA
Nome Posto,SANTA MARIA DA VITORIA
Latitude,-13.400555555555556
Longitude,-44.1975
Codigo,1344017
Qtd. Anos,72
Ano,Maxima
1945,88
1946,60
1947,150
1948,70
1949,70
1950,99
1951,63.3
1952,150.1
1953,47.5
1954,90.4
1955,88.3
1956,62.4
1957,122
1958,72.3
1959,51.8
1960,93
1961,68.6
1962,83.6
1963,75.2
1964,112.2
1965,103
1966,91.2
1967,60
1968,39.5
1969,164.2
1970,64.4
1971,96
1972,66
1973,44
1977,121
1978,78
1979,83.2
1980,101
1981,75.4
1982,64.8
1983,72.4
1984,48.6
1985,71
1986,64.1
1987,111
1988,137.6
1989,68.6
1990,57
1991,86
1992,70.2
1993,40.4
1994,61.6
1995,94
1996,64.4
1997,64.4
1998,69.8
1999,107.4
2000,50.4
2001,53.6
2002,80
2003,49.8
2004,67
2005,163.2
2006,104.4
2007,80
2008,49.6
2009,58
2010,58.2
2011,78.6
2012,63
2013,103
2014,72.4
2015,75.6
2016,103.6
2017,51.4
2018,70.5
2019,99.2
