UF,BA
Cidade,COCOS
Nome Posto,FAZENDA PORTO ALEGRE
Latitude,-14.268333333333334
Longitude,-44.52166666666667
Codigo,1444017
Qtd. Anos,72
Ano,Maxima
1946,94.2
1947,116
1948,75.7
1949,144
1950,46.1
1951,52.3
1952,74.2
1953,75.1
1954,75.1
1955,63.5
1956,94.3
1957,98.1
1958,65.1
1959,115.4
1960,88.1
1961,65.9
1962,90.2
1963,56.8
1964,107.5
1965,72.5
1966,84.5
1967,52.5
1968,75.8
1969,96.5
1970,105.3
1971,80.6
1972,68.5
1973,64.7
1976,87.5
1977,119.8
1978,53.7
1979,56.8
1980,54.2
1981,141.8
1982,54.8
1983,75.4
1984,60.8
1985,66.4
1986,73.4
1987,57.9
1988,147.8
1989,125.4
1990,46.8
1991,84
1992,84.3
1993,67.1
1994,59.2
1995,97.2
1996,77
1997,82.8
1998,98.8
1999,88.8
2000,100.7
2001,51.9
2002,102.7
2003,71.4
2004,98.5
2005,69.2
2006,51.9
2007,133.5
2008,46.3
2009,52.7
2010,94.6
2011,66.8
2012,80.6
2013,68.9
2014,54.8
2015,63.5
2016,119.1
2017,44.7
2018,86.5
2019,66.5
