UF,BA
Cidade,OLIVEIRA DOS BREJINHOS
Nome Posto,PONTE BR-242
Latitude,-12.251944444444444
Longitude,-42.76277777777778
Codigo,1242016
Qtd. Anos,48
Ano,Maxima
1972,47
1973,39.2
1974,66.3
1975,46.3
1976,30
1977,71.2
1978,70.2
1979,70
1980,62.4
1981,71.2
1982,57.1
1983,96
1984,59.8
1985,60
1986,68.9
1987,62
1988,79.7
1989,58.5
1990,73.3
1991,105.7
1992,74.8
1993,54.9
1994,40.8
1995,54.5
1996,48
1997,58.6
1998,36.1
1999,54.3
2000,85.2
2001,28.5
2002,60.6
2003,34.8
2004,84.6
2005,64.3
2006,75
2007,47.8
2008,77.1
2009,51
2010,111
2011,69.9
2012,77.5
2013,60
2014,95
2015,85.2
2016,91.5
2017,79
2018,54.3
2019,90
