UF,BA
Cidade,SERRA DO RAMALHO
Nome Posto,BOM JESUS DA LAPA
Latitude,-13.255277777777778
Longitude,-43.43583333333333
Codigo,1343019
Qtd. Anos,42
Ano,Maxima
1945,76
1946,49
1947,56
1948,60
1949,70
1950,115
1951,67
1952,93
1953,106
1954,91
1955,124
1956,96
1957,89
1958,106
1959,60
1960,46
1961,67
1962,73
1963,101
1964,96
1965,96
1966,95
1967,79
1968,69
1969,35
1970,101
2004,46.3
2005,100.9
2006,72.8
2007,64.6
2008,60.7
2009,49.9
2010,51.1
2011,101.4
2012,52.7
2013,42.7
2014,114.8
2015,39.1
2016,57.9
2017,65.7
2018,54.3
2019,56.1
