UF,BA
Cidade,CAMACAN
Nome Posto,CAMACAN (VARGITO)
Latitude,-15.425277777777778
Longitude,-39.49277777777778
Codigo,1539022
Qtd. Anos,47
Ano,Maxima
1973,56.8
1974,88.2
1975,72.4
1976,52.3
1977,60.4
1978,77.9
1979,60.8
1980,52.8
1981,50.2
1982,46.6
1983,60
1984,56
1985,80.6
1986,88.4
1987,81.8
1988,135.3
1989,70.3
1990,31
1991,50
1992,75
1993,28
1994,38.7
1995,70.3
1996,43.2
1997,50.7
1998,124.3
1999,58.2
2000,91.4
2001,50.7
2002,59.2
2003,64.1
2004,84.9
2005,75.6
2006,172
2007,108.3
2008,68
2009,140
2010,86.8
2011,82
2012,35.5
2013,50.6
2014,113
2015,122
2016,59.5
2017,72.2
2018,83.7
2019,37
