UF,BA
Cidade,ITIUBA
Nome Posto,ITIUBA
Latitude,-10.683333333333334
Longitude,-39.85
Codigo,1039006
Qtd. Anos,48
Ano,Maxima
1942,90.1
1943,28
1944,89.8
1945,43.5
1946,71.5
1947,78
1948,106
1949,77.2
1950,48.1
1951,53.6
1952,36.5
1953,79.9
1954,43.3
1955,51
1956,46.4
1957,90.7
1958,50.6
1959,38.9
1960,60.2
1961,66
1962,70
1963,68.4
1964,77.2
1965,28.7
1966,102.4
1967,137
1968,95.3
1969,66.2
1970,50.8
1971,43.2
1972,48.2
1973,178
1974,97.4
1975,39.2
1976,75
1977,176
1978,145
1979,50.2
1980,60
1981,83.4
1982,50
1983,55.2
1984,150
1985,100
1986,58.4
1987,63
1988,124.6
1989,84.4
