UF,BA
Cidade,PILAO ARCADO
Nome Posto,PILAO ARCADO
Latitude,-10.166666666666666
Longitude,-42.43333333333333
Codigo,1042007
Qtd. Anos,80
Ano,Maxima
1911,23.1
1912,58.3
1913,63.2
1914,65.7
1915,60.1
1916,62.1
1917,55.4
1918,58.5
1919,39.8
1920,74
1921,87.4
1922,74.4
1923,64.3
1924,63.3
1925,55
1926,58.5
1927,61.5
1928,66.2
1929,79.5
1930,75
1931,29.9
1932,43
1933,53
1934,42.8
1935,57.4
1936,85.1
1937,70
1938,58.6
1939,60
1940,63.3
1941,52
1942,63
1943,62.7
1944,64
1945,63
1946,43.3
1947,72.8
1948,50.4
1949,58.6
1950,79
1951,61.4
1952,100.2
1953,85
1954,77.4
1955,55.4
1956,88.3
1957,95.3
1958,108.2
1959,55.9
1960,109.2
1961,56.5
1962,55.4
1963,57.4
1964,51.3
1965,53.3
1966,83.3
1967,64.3
1968,99.2
1969,91.1
1970,50.2
1971,66
1972,62
1973,98.3
1974,65
1975,75
1976,91
1977,59
1979,68
1980,67
1981,53
1982,50
1983,53.3
1984,81
1985,63
1986,66.2
1987,100
1988,105.2
1989,75
1990,21.8
1991,12.3
