UF,BA
Cidade,IBICARAI
Nome Posto,IBICARAI
Latitude,-14.869444444444445
Longitude,-39.58833333333334
Codigo,1439089
Qtd. Anos,44
Ano,Maxima
1967,113
1968,71
1969,42
1973,103.3
1974,94.1
1975,74
1976,74.8
1977,77
1978,48.6
1985,102
1986,42.8
1987,58
1988,83
1989,65.2
1990,45.6
1991,75.5
1992,75.5
1993,25
1994,56.2
1995,17.7
1996,61.8
1997,64.5
1998,75.3
1999,64.8
2000,56.2
2001,43
2002,78.6
2003,30.9
2004,65
2005,69.7
2006,44.9
2007,98.1
2008,60.3
2009,90.3
2010,62.6
2011,107
2012,57.1
2013,51
2014,53.2
2015,40.7
2016,37.4
2017,53.2
2018,133.1
2019,61.1
