UF,BA
Cidade,CHORROCHO
Nome Posto,VARZEA DA EMA
Latitude,-9.517222222222223
Longitude,-38.994166666666665
Codigo,938015
Qtd. Anos,57
Ano,Maxima
1936,51.7
1937,108.3
1938,47
1939,31.3
1940,84
1941,64
1942,52.3
1943,67.2
1944,123.5
1945,56
1947,67
1948,90.2
1949,65.8
1950,107.8
1951,16.3
1952,35.5
1953,52.9
1954,25
1955,80.4
1956,57.4
1957,86.1
1958,29.6
1959,43.2
1960,84.5
1961,55.4
1962,48.4
1963,42.8
1964,118
1965,31.8
1966,48.2
1967,60.6
1968,54
1969,45.8
1970,56.6
1971,83.8
1972,87.4
1973,41.6
1974,50.6
1975,35.6
1976,40.6
1977,33.5
1978,129
1979,72.3
1980,50
1981,87
1982,68
1983,79
1984,65
1985,88.2
1986,52
1987,39.1
1988,101.2
1989,53.3
1990,46.2
1991,118
1994,24
1995,80
