UF,BA
Cidade,PLANALTO
Nome Posto,LUCAIA (CAMPOS SALES)
Latitude,-14.744444444444444
Longitude,-40.49166666666667
Codigo,1440009
Qtd. Anos,55
Ano,Maxima
1963,49.8
1964,47.5
1966,58
1967,80.7
1969,61.4
1970,65.6
1971,70.2
1972,11.8
1973,50.6
1974,60.8
1975,53
1976,55
1977,114
1978,50
1979,75
1980,100
1981,70.5
1982,80.7
1983,75
1984,60
1985,75
1986,90.2
1987,420.6
1988,50
1989,101
1990,87.2
1991,53.8
1992,79.2
1993,52.4
1994,64.4
1995,71.7
1996,21
1997,87.2
1998,79.8
1999,91.2
2000,78.4
2001,44.2
2002,86.6
2003,96.4
2004,65.2
2005,81.4
2006,55.6
2007,91.4
2008,55.4
2009,62.8
2010,58.6
2011,52.4
2012,81.2
2013,88.4
2014,85.2
2015,38.6
2016,46.4
2017,55.8
2018,80.4
2019,38.2
