UF,BA
Cidade,VITORIA DA CONQUISTA
Nome Posto,INHOBIM
Latitude,-15.340833333333334
Longitude,-40.93277777777777
Codigo,1540003
Qtd. Anos,55
Ano,Maxima
1965,54.2
1966,51.3
1967,82.6
1968,41.2
1969,68.2
1970,58.2
1971,82.3
1972,71.3
1973,86.4
1974,59.4
1975,100
1976,80.2
1977,62
1978,57.2
1979,52.4
1980,73
1981,108.3
1982,62.2
1983,110.4
1984,58.2
1985,55.4
1986,110.2
1987,52.8
1988,72.1
1989,80.3
1990,54.6
1991,78.2
1992,105.7
1993,43.7
1994,77.5
1995,69.3
1996,35.8
1997,68.5
1998,112.1
1999,120.5
2000,74
2001,29.7
2002,117.9
2003,41.8
2004,78.2
2005,97.7
2006,76.8
2007,66
2008,63
2009,86.4
2010,90
2011,82.3
2012,91.2
2013,72.2
2014,81.1
2015,53.2
2016,58.3
2017,99.3
2018,74.5
2019,133.5
