UF,BA
Cidade,MARACAS
Nome Posto,SAO TIMOTEO
Latitude,-13.85
Longitude,-42.2
Codigo,1342017
Qtd. Anos,54
Ano,Maxima
1939,49.5
1940,82.7
1941,53.2
1942,160.9
1943,71.8
1944,69.4
1945,62.8
1946,88
1947,50.3
1948,63.2
1949,52.7
1950,39.3
1951,80
1952,80
1953,42.8
1954,60
1955,82.5
1956,69
1957,113
1958,56.4
1959,60
1960,60
1961,45
1962,51
1963,80
1964,90.3
1965,90
1966,55.2
1967,81
1968,30
1969,56
1970,70
1971,49
1972,81
1973,92.2
1974,91
1975,54
1976,43
1977,54.2
1978,86
1979,64
1980,28.1
1981,61.2
1982,60
1983,57.3
1984,67.3
1985,91.2
1986,69.2
1987,49.3
1988,47
1989,80.4
1990,89
1991,99
1994,51
