UF,BA
Cidade,ARACI
Nome Posto,ARACI
Latitude,-11.333333333333334
Longitude,-38.95
Codigo,1138015
Qtd. Anos,79
Ano,Maxima
1911,20.3
1912,60
1913,66.5
1914,67.4
1915,65.8
1916,67.1
1917,67.7
1918,91.4
1919,29.6
1920,66.9
1921,67.4
1922,63.7
1923,66.4
1924,45.1
1925,55.2
1926,46.6
1927,67
1928,49.4
1929,67.7
1930,56.7
1931,67
1932,17.8
1933,60.6
1934,34
1935,65.3
1936,46
1939,41.5
1940,47.4
1941,45.2
1942,46.6
1943,44.6
1944,49
1945,30.5
1946,47.5
1947,63.5
1948,37.5
1949,146
1950,58
1951,70
1952,79
1953,47
1954,54
1955,38
1956,35.5
1957,72.5
1958,65.5
1959,31
1960,74
1961,28
1962,43
1963,84
1964,108
1965,62
1966,105
1967,75
1968,81.2
1969,83.2
1970,68
1971,73.4
1972,70.8
1973,56
1974,64.6
1975,61
1976,52.4
1977,122.4
1978,220
1979,45.8
1980,90.8
1981,115.2
1982,35.4
1983,77.2
1984,50
1985,61
1986,30
1987,26
1988,81
1989,92
1990,42
1991,73.2
