UF,BA
Cidade,UBAIRA
Nome Posto,UBAIRA (AREIA)
Latitude,-13.266666666666667
Longitude,-39.65
Codigo,1339037
Qtd. Anos,69
Ano,Maxima
1919,13
1920,77.3
1921,61
1922,60.5
1923,45.5
1924,49.1
1925,62.6
1926,59.3
1927,157.2
1928,19.5
1929,10.3
1930,30.2
1931,25.5
1932,30.4
1933,42.1
1934,43.5
1935,45
1936,44.8
1937,46.2
1938,29.3
1939,38.6
1940,160.6
1941,80
1942,73.5
1943,45
1944,189.8
1945,150.8
1946,106.4
1947,130.4
1948,127.6
1949,42.3
1950,144.2
1951,182.4
1952,46.8
1953,80.5
1954,58.5
1955,50.3
1956,38.4
1957,87.5
1958,59.3
1959,63
1960,115.5
1961,45.7
1962,75
1963,96.6
1964,90.7
1965,45
1966,80.4
1967,77
1968,60.4
1969,60.2
1970,90.1
1971,48.5
1972,54
1973,58
1974,28
1975,37.4
1976,74
1977,79.3
1978,62.2
1979,72.4
1980,83.5
1981,60.8
1982,111
1983,50
1984,38
1985,88
1986,37.2
1987,63
