UF,BA
Cidade,MUNDO NOVO
Nome Posto,BARRA DO MUNDO NOVO
Latitude,-11.865555555555556
Longitude,-40.51777777777777
Codigo,1140031
Qtd. Anos,36
Ano,Maxima
1984,51.7
1985,78.5
1986,84.8
1987,51.2
1988,139.3
1989,39.2
1990,19.6
1991,44.3
1992,127.6
1993,36.7
1994,80.6
1995,35.6
1996,51.6
1997,109.2
1998,108.4
1999,130.5
2000,53.1
2001,84.6
2002,99.1
2003,111.9
2004,91.7
2005,57.6
2006,68.2
2007,97.2
2008,92.8
2009,72.2
2010,68.8
2011,64.6
2012,46.6
2013,103.7
2014,54.1
2015,77.4
2016,60
2017,50.9
2018,63.5
2019,61.7
