UF,BA
Cidade,NORDESTINA
Nome Posto,NORDESTINA
Latitude,-10.821666666666667
Longitude,-39.43
Codigo,1039008
Qtd. Anos,42
Ano,Maxima
1959,2
1962,18
1963,62
1964,51.4
1965,25
1966,53.4
1967,53
1968,57.2
1969,28.6
1970,38.3
1971,15.3
1972,18.1
1973,62.8
1974,65
1975,100
1976,23.2
1977,22.3
1978,22.3
1979,22
1980,25.2
1981,25.3
1982,12.4
1983,12.4
1984,40
1985,40
1986,15
1989,80
1990,81.2
1991,60.2
1992,24.8
1993,25.4
2000,36.5
2002,24.8
2003,185.5
2004,96
2005,39.3
2006,17
2007,2.5
2011,15.5
2012,24.3
2013,21.3
2014,8
