UF,BA
Cidade,PRESIDENTE JANIO QUADROS
Nome Posto,PRESIDENTE JANIO QUADROS (JOANINA)
Latitude,-14.75
Longitude,-41.733333333333334
Codigo,1441003
Qtd. Anos,47
Ano,Maxima
1941,37.7
1942,163.1
1943,46
1944,71.5
1945,76.7
1946,52.5
1947,42.7
1948,98.4
1949,54.5
1950,89.1
1951,39.1
1952,30.2
1953,41.5
1954,91.2
1955,112.2
1956,61.7
1957,110.3
1958,49.2
1959,94.2
1960,84
1961,4
1962,7
1963,21.4
1964,17.1
1965,8.4
1966,7
1967,61.2
1968,28
1969,41.5
1970,15.8
1971,28.2
1972,19.6
1973,8.2
1974,41.5
1975,6.3
1976,6.1
1977,24.8
1978,6.4
1979,8.3
1980,6.3
1981,7.3
1982,4.3
1983,6.3
1984,5.2
1985,30
1986,40
1987,50
