UF,BA
Cidade,ITAGIBA
Nome Posto,ITAGIBA
Latitude,-14.283333333333333
Longitude,-39.85
Codigo,1439071
Qtd. Anos,44
Ano,Maxima
1935,84.1
1936,92
1937,222
1938,250
1939,74.9
1940,92.2
1941,107.6
1942,84.6
1943,78.1
1944,82.8
1945,82
1946,78.2
1947,148.5
1948,65.4
1949,74.6
1950,127.2
1951,55.4
1952,82.4
1953,68.2
1954,86.7
1955,86
1956,90.6
1957,40
1958,55.2
1959,69.4
1960,91.8
1961,56.3
1962,50.2
1963,55.3
1964,99.6
1965,70.6
1966,87.2
1967,102.2
1968,85.9
1969,75.8
1970,62.7
1971,68.1
1972,111.6
1973,63.8
1974,80.4
1975,142.2
1976,51.8
1977,87.1
1978,78
