UF,BA
Cidade,MORPARA
Nome Posto,MORPARA
Latitude,-11.563333333333334
Longitude,-43.275277777777774
Codigo,1143002
Qtd. Anos,72
Ano,Maxima
1945,52.2
1946,68
1947,92
1948,80
1949,79
1950,110
1951,50
1952,56
1953,49.5
1954,46
1955,116
1956,90
1957,87
1958,70.9
1959,83
1960,168.2
1961,73
1962,93
1963,76
1964,66
1965,49
1966,78
1967,55
1968,63
1969,141
1970,78
1971,112.5
1972,50
1973,100.2
1977,91
1978,142
1979,147
1980,98
1981,101.5
1982,61.5
1983,175.6
1984,50.4
1985,82
1986,72
1987,95.5
1988,135
1989,60
1990,55.4
1991,78.3
1992,84.3
1993,44.2
1994,49.1
1995,58.4
1996,84.8
1997,104
1998,55.3
1999,58.4
2000,86.2
2001,75.2
2002,103.1
2003,94.7
2004,72
2005,54.5
2006,77.1
2007,72.9
2008,76.4
2009,144.5
2010,100.8
2011,81.5
2012,29.7
2013,72
2014,78.8
2015,254
2016,122.7
2017,59
2018,88.3
2019,36.3
