UF,BA
Cidade,BARREIRAS
Nome Posto,BARREIRAS
Latitude,-11.154444444444445
Longitude,-45.009166666666665
Codigo,1244011
Qtd. Anos,81
Ano,Maxima
1936,80.2
1937,50.3
1938,18
1939,37.5
1940,83.1
1941,70.7
1942,43.1
1943,74.1
1944,71.6
1945,70.8
1946,109.6
1947,112.9
1948,77
1949,45.4
1950,125
1951,53.8
1952,92.4
1953,69.5
1954,46.5
1955,91
1956,49
1957,70
1958,58.5
1959,80
1960,84.2
1961,79.5
1962,88.6
1963,84.8
1964,102.4
1965,70.2
1966,142.6
1967,80.4
1968,112.3
1969,96.2
1970,116.4
1971,49.1
1972,111
1973,125
1977,100.6
1978,98
1979,100
1980,82.4
1981,85.6
1982,45
1983,56
1984,89
1985,80.2
1986,109
1987,81.6
1988,72
1989,73.8
1990,54.7
1991,65
1992,96.2
1993,37
1994,70
1995,99
1996,93.4
1997,79.8
1998,69
1999,80.2
2000,51
2001,64.8
2002,86.8
2003,44.1
2004,68.4
2005,79.6
2006,70.3
2007,66.2
2008,55.1
2009,85.1
2010,58.9
2011,58
2012,65.2
2013,65.4
2014,96.6
2015,135.6
2016,96.7
2017,64.3
2018,61.6
2019,46.7
