UF,BA
Cidade,COCOS
Nome Posto,COCOS
Latitude,-14.180277777777777
Longitude,-44.530833333333334
Codigo,1444015
Qtd. Anos,55
Ano,Maxima
1943,84.4
1944,104.5
1945,99
1946,49.5
1947,165
1948,78
1949,136
1950,42
1951,36
1952,52.7
1953,59
1954,60
1955,52
1956,58.2
1957,56
1958,56
1959,45
1960,77
1961,30
1962,80
1963,113.4
1964,100.1
1965,70
1966,153.1
1967,47.2
1968,105
1969,97
1970,77
1971,120
1972,63.2
1973,65
1974,84
1975,63
1976,66.6
1977,96.2
1978,112.2
1979,61
1980,60
1981,63
1982,50
1983,85
1984,62
1985,52
1986,52
1987,66
1988,60
1989,82
1990,72
1991,90
1996,56
1997,55
1998,86
1999,66
2000,75
2001,35
