UF,BA
Cidade,IRAMAIA
Nome Posto,NOVO ACRE
Latitude,-13.433333333333334
Longitude,-41.1
Codigo,1341015
Qtd. Anos,66
Ano,Maxima
1926,60.1
1927,54.5
1928,49.6
1929,60
1930,72.8
1931,63.8
1932,63.8
1933,71
1934,60.3
1935,67
1936,59
1937,70.2
1938,195
1939,75.4
1940,132
1941,120.4
1942,89.5
1943,66
1944,110
1945,69.2
1946,48.5
1947,95.8
1948,68.9
1949,156
1950,60.3
1951,56
1952,82.2
1953,50.3
1954,108.3
1955,52.2
1956,84
1957,84
1958,127
1959,59
1960,76
1961,84.2
1962,70
1963,76.4
1964,76.8
1965,68.2
1966,70.2
1967,150.6
1968,100.2
1969,66.2
1970,73.4
1971,84.6
1972,123.6
1973,43.2
1974,70
1975,76.4
1976,46
1977,98.6
1978,86.3
1979,74.5
1980,85.3
1981,68.6
1982,87.4
1983,72.2
1984,70
1985,140
1986,70.2
1987,66.6
1988,101.2
1989,72.8
1990,91.6
1991,80
