UF,BA
Cidade,MALHADA DE PEDRAS
Nome Posto,MALHADA DE PEDRAS
Latitude,-14.383333333333333
Longitude,-41.9
Codigo,1441004
Qtd. Anos,58
Ano,Maxima
1939,22
1940,71
1941,50.6
1942,64.2
1943,40.5
1944,88.5
1945,77
1946,90
1947,50
1948,40
1949,35.2
1950,40.7
1951,55.7
1952,32.7
1953,60.6
1954,50.1
1955,51.1
1956,60.7
1957,83.4
1958,44.3
1959,61.5
1960,87.8
1961,69.3
1962,60.7
1963,84
1964,50
1965,107
1966,140
1967,50
1968,132
1969,72.5
1970,60
1971,67.5
1972,145
1973,49
1974,25
1975,115
1976,50
1977,45
1978,80
1979,57
1980,113
1981,70.5
1982,107
1983,125
1984,67
1985,70.1
1986,100
1987,43.4
1988,37
1989,78.3
1990,48
1991,31.3
1994,63.3
1995,43.2
1996,70
1997,95.1
1998,1.5
