UF,BA
Cidade,SENTO SE
Nome Posto,SAO PEDRO (SAO PEDRO DO ACUDE)
Latitude,-9.875833333333334
Longitude,-41.073888888888895
Codigo,941004
Qtd. Anos,50
Ano,Maxima
1942,119.4
1943,42.1
1944,47.8
1945,104.4
1946,71.9
1947,54.1
1948,42
1949,128.7
1950,38
1951,54.2
1952,66.7
1953,91.6
1954,76.7
1955,33.4
1956,44.3
1957,60.4
1958,62
1959,45.6
1960,75.3
1961,90.2
1962,20.2
1963,51.3
1964,73.3
1965,48.4
1966,62.2
1967,87.2
1968,43
1969,75.4
1970,70.3
1971,90
1972,85.3
1973,75.3
1974,40.2
1975,42.2
1976,25.4
1977,58
1978,50.2
1979,50.2
1980,58.4
1981,75.1
1982,45.2
1983,42.1
1984,46.5
1985,101.2
1986,25.1
1987,20.2
1988,125.1
1989,17.4
1998,46.3
1999,40.3
