UF,BA
Cidade,IPIAU
Nome Posto,IPIAU
Latitude,-14.170833333333333
Longitude,-39.689722222222215
Codigo,1439014
Qtd. Anos,67
Ano,Maxima
1944,59.5
1945,68.6
1946,68.4
1947,73.4
1948,61.4
1949,40.4
1950,92.4
1951,33.3
1952,120
1953,80.4
1954,114
1955,55.4
1956,56.4
1957,48.2
1958,78.6
1959,75.2
1960,63.2
1961,52.6
1962,39.3
1963,93.6
1964,84
1965,65.3
1966,105.3
1967,72.9
1968,70.3
1969,73.8
1970,58
1971,49
1972,114.4
1973,108.2
1975,44.4
1976,79.3
1977,80.2
1978,66.2
1979,50
1980,123.8
1981,79.2
1982,67.3
1983,83
1984,48.2
1985,84
1986,37.8
1987,37.8
1988,92.4
1989,78.8
1990,28.4
1991,98
1992,59.9
1993,26.7
1994,48.2
1995,77.5
1996,61.7
1997,123.6
1998,50.7
1999,83.4
2000,87.2
2001,81.6
2002,104.1
2003,62.1
2004,50.3
2005,43.2
2006,48.5
2007,97
2008,45
2009,67.3
2010,80.6
2011,23.8
