UF,BA
Cidade,CAPIM GROSSO
Nome Posto,ACUDE RIO DO PEIXE
Latitude,-11.230277777777777
Longitude,-39.965833333333336
Codigo,1140033
Qtd. Anos,36
Ano,Maxima
1984,15.1
1985,59.1
1986,63.3
1987,138.6
1988,79.2
1989,122.7
1990,34.7
1991,46.8
1992,145.1
1993,61.5
1994,27.4
1995,30.3
1996,82.8
1997,98.2
1998,46.2
1999,44.9
2000,145.5
2001,62.3
2002,69.3
2003,93.5
2004,56.7
2005,77.4
2006,65.3
2007,45.6
2008,54.7
2009,45.2
2010,42.8
2011,72.4
2012,28.2
2013,83.7
2014,64.3
2015,34.1
2016,89.4
2017,21
2018,52.5
2019,30.5
