UF,BA
Cidade,CANSANCAO
Nome Posto,CANSANCAO
Latitude,-10.666666666666666
Longitude,-39.49666666666667
Codigo,1039003
Qtd. Anos,53
Ano,Maxima
1943,23.4
1944,114.9
1945,61.5
1946,22.5
1947,78.2
1948,39.1
1949,98
1950,55.7
1951,63
1952,31
1953,52
1954,37.5
1955,35.5
1956,68.6
1957,42
1958,30
1959,20
1960,96.4
1961,62
1962,44.7
1963,108
1964,63
1965,66
1966,64.6
1967,43
1968,32.3
1969,68.6
1970,65.8
1971,50.2
1972,73.5
1973,54.3
1974,120
1975,48
1976,22.7
1977,27.8
1978,33.6
1979,41.5
1980,43.6
1981,54.6
1982,62.3
1983,73
1984,60
1985,80
1986,65.5
1987,80.1
1988,74
1989,50.4
1990,29
1991,96
1995,23
1996,25
1997,25
1998,31.2
