UF,BA
Cidade,CONDEUBA
Nome Posto,CONDEUBA
Latitude,-14.883333333333333
Longitude,-41.983333333333334
Codigo,1441016
Qtd. Anos,77
Ano,Maxima
1911,41
1912,81
1913,62.5
1914,99.3
1915,48
1916,102
1917,59.4
1918,110.8
1919,67
1920,67.5
1921,56
1922,37
1923,60.2
1924,57.2
1925,63.1
1926,56.2
1927,100.1
1928,52.4
1929,92
1930,83.5
1931,67.5
1932,43.4
1933,113.5
1934,60
1935,75.5
1936,62
1937,81.5
1938,54
1939,67
1940,54.5
1941,56
1942,63
1943,145
1944,91.5
1945,83.5
1946,80
1947,66
1948,74
1949,56
1950,72
1951,54
1952,49
1953,96.3
1954,68.5
1955,55
1956,48
1957,72
1958,63
1959,60
1960,47.5
1961,76.5
1962,45
1963,108
1964,121
1965,48.2
1966,47.2
1967,100.4
1968,132.2
1969,115
1970,81
1971,95.2
1972,53.3
1976,36
1977,61
1978,117
1979,81
1980,104
1981,79.2
1982,70
1983,78.6
1984,88
1985,75.3
1986,50
1987,40.2
1989,82.6
1990,98
1991,77
