UF,BA
Cidade,PARAMIRIM
Nome Posto,PARAMIRIM
Latitude,-13.45
Longitude,-42.233333333333334
Codigo,1342013
Qtd. Anos,71
Ano,Maxima
1921,69
1922,58.6
1923,45.6
1924,76.5
1925,93.6
1926,82.1
1927,117
1928,111.5
1929,57
1930,82.3
1931,45
1932,61.6
1933,65.6
1934,45.8
1935,64.2
1936,62.5
1937,64.1
1938,54.7
1939,34
1940,69.5
1941,36.5
1942,76
1943,54
1944,47.6
1945,52.6
1946,36.8
1947,41.5
1948,48.9
1950,49.7
1951,39.1
1952,42.8
1953,56.7
1954,52.8
1955,48
1956,35.1
1957,54.4
1958,36.7
1959,42.4
1960,48
1961,38.3
1962,96.7
1963,67.1
1964,108.9
1965,62.4
1966,85.4
1967,55
1968,72
1969,62.2
1970,63.4
1971,59.9
1972,56
1973,108.6
1974,66
1975,45.7
1976,48.8
1977,59.6
1978,70
1979,65.3
1980,67
1981,75
1982,65.3
1983,57
1984,56.7
1985,75.8
1986,100
1987,63.8
1988,74.7
1989,100.5
1990,53
1991,62.1
1994,105
