UF,BA
Cidade,BOA VISTA DO TUPIM
Nome Posto,BOA VISTA DO TUPIM
Latitude,-12.656944444444445
Longitude,-40.60916666666667
Codigo,1240004
Qtd. Anos,52
Ano,Maxima
1942,90.1
1943,94
1944,91.8
1945,176.6
1946,32.1
1947,38.3
1948,36.3
1949,66.7
1950,43.6
1951,27.3
1952,32.6
1953,57.3
1954,66
1955,43.4
1956,69.5
1957,91
1958,62.1
1959,22.4
1960,57.2
1961,77.6
1962,50.6
1963,70.4
1964,65
1965,31.3
1966,38.8
1967,47.4
1968,162.3
1969,32.4
1970,63.2
1971,55.1
1972,60.4
1973,69.8
1974,93.8
1975,105.4
1976,49.6
1977,50
1978,77.4
1979,61.6
1980,119.2
1981,89.4
1982,42
1983,50.3
1984,106.1
1985,60.1
1986,31.2
1987,29.2
1988,106
1989,75
1990,92.3
1991,108.1
1994,64
1995,12.1
