UF,BA
Cidade,CAETITE
Nome Posto,CAETITE-2
Latitude,-14.067777777777778
Longitude,-42.48888888888889
Codigo,1442015
Qtd. Anos,46
Ano,Maxima
1961,48.4
1962,56
1963,79.2
1964,67.8
1965,48.4
1966,61.6
1967,67
1968,71.1
1969,45.4
1970,88
1975,37.6
1976,45
1977,54.2
1978,64.8
1979,74.7
1980,78.6
1986,40.8
1987,49.2
1988,105.5
1989,60
1993,55.8
1994,57.4
1995,101
1996,74
1997,68.4
1998,83.6
1999,98.6
2000,72.8
2001,46.2
2002,55.6
2003,72.4
2004,101.2
2005,63.8
2006,78.6
2007,111.5
2008,44.5
2009,79.6
2010,87.2
2011,66
2012,98.2
2013,95.2
2014,57.4
2015,49.6
2016,69.1
2017,71.2
2018,41.2
