UF,BA
Cidade,MEDEIROS NETO
Nome Posto,MEDEIROS NETO
Latitude,-17.372222222222224
Longitude,-40.225833333333334
Codigo,1740005
Qtd. Anos,68
Ano,Maxima
1952,71.8
1953,141
1954,24.2
1955,2.5
1956,98
1957,60.8
1958,56.6
1959,53
1960,70.6
1961,54.8
1962,52.4
1963,73.8
1964,69
1965,68
1966,28.2
1967,38.2
1968,62
1969,139.8
1970,129
1971,107
1972,80
1973,65.3
1974,58
1975,42
1976,71
1977,62
1978,54
1979,94.5
1980,86.2
1981,100
1982,79
1983,119.8
1984,100.1
1985,72
1986,84.3
1987,147
1988,37
1989,72.2
1990,97
1991,49
1992,53
1993,73
1994,116
1995,75
1996,78.2
1997,68.8
1998,77
1999,68
2000,109
2001,47.6
2002,84.5
2003,87.8
2004,74.2
2005,60.7
2006,59.1
2007,70.8
2008,72
2009,90
2010,74.1
2011,70.6
2012,46
2013,106.2
2014,93.4
2015,50.4
2016,52.4
2017,75.6
2018,75
2019,70.4
