UF,BA
Cidade,CORRENTINA
Nome Posto,CORRENTINA-1
Latitude,-13.333333333333334
Longitude,-44.63333333333333
Codigo,1344004
Qtd. Anos,50
Ano,Maxima
1936,93.1
1937,90.7
1938,81.8
1939,30.3
1940,113.6
1941,151.3
1942,70
1943,70.4
1944,80
1945,73
1946,83
1947,76.8
1948,59
1949,56
1950,50
1951,72.5
1952,108.2
1953,43.1
1954,117
1955,86
1956,105.5
1957,110
1958,85.5
1959,57.1
1960,73.9
1961,68
1962,68.3
1963,90.2
1964,88.8
1965,83.9
1966,76.2
1967,81.8
1968,70.8
1969,66.2
1970,59.4
1971,50.6
1972,76
1973,38.9
1974,74
1975,52.2
1976,32.9
1977,69.1
1978,70.9
1979,92.8
1980,96.6
1981,80
1982,66.7
1983,54.5
1984,56.2
1985,95.5
