UF,BA
Cidade,GUANAMBI
Nome Posto,GUANAMBI
Latitude,-14.216666666666667
Longitude,-42.78333333333333
Codigo,1442009
Qtd. Anos,56
Ano,Maxima
1933,45
1934,14.2
1935,65.5
1936,65
1937,150
1938,66
1939,42.7
1940,39.5
1941,69
1942,37
1943,89
1944,53.4
1945,73
1946,98.5
1947,93
1948,90.2
1949,143.8
1950,121
1951,93.5
1952,62.5
1953,60.2
1954,97.5
1955,40.5
1956,75.6
1957,66
1958,78
1959,69.4
1960,90.3
1961,48
1962,32
1963,50
1964,50.6
1965,52.1
1966,76.5
1967,60.5
1968,106
1969,88
1970,64.3
1971,55
1972,70
1973,44.1
1974,45.4
1975,55
1976,80.6
1977,55.6
1978,95.5
1979,103.4
1980,56.8
1981,60
1982,45
1983,86.8
1984,51
1985,99
1986,76
1987,15
1991,35.2
