UF,BA
Cidade,JUAZEIRO
Nome Posto,LAGOA DO BOI
Latitude,-9.490833333333333
Longitude,-40.20444444444445
Codigo,940025
Qtd. Anos,48
Ano,Maxima
1972,6.1
1973,5.9
1974,98.6
1975,77.2
1976,84.2
1977,52.7
1978,110.2
1979,40.8
1980,87.2
1981,92
1982,50.5
1983,46
1984,75.4
1985,110
1986,50.4
1987,56.4
1988,74.5
1989,77.3
1990,67.3
1991,80.5
1992,73.1
1993,30.8
1994,77.5
1995,68.8
1996,66.8
1997,70.9
1998,44.3
1999,114.8
2000,77.8
2001,67.7
2002,49.8
2003,51
2004,83.5
2005,82
2006,106.1
2007,42.5
2008,75.5
2009,65.9
2010,60.1
2011,45.5
2012,23.5
2013,30.4
2014,90
2015,120.4
2016,155
2017,40.8
2018,72.1
2019,53.5
