UF,BA
Cidade,PILAO ARCADO
Nome Posto,CAMPESTRE
Latitude,-9.735
Longitude,-42.76972222222222
Codigo,942020
Qtd. Anos,73
Ano,Maxima
1911,29.2
1912,18.4
1913,53.6
1914,62
1915,23.6
1916,57.3
1917,46.8
1918,46
1919,44.7
1920,34
1921,38
1922,34.4
1923,29
1924,54.6
1925,45.4
1926,49.5
1927,49.7
1937,31.5
1938,83
1939,60.2
1940,84.5
1941,60.4
1942,54.5
1943,84.3
1944,66.4
1945,186.4
1946,130.8
1947,120.2
1948,180.8
1949,56.3
1950,120.2
1951,52.3
1952,62.6
1953,130.4
1954,89.5
1955,180.2
1956,180.2
1957,182.8
1958,121.3
1959,101.3
1960,114.5
1961,96.9
1962,90.8
1963,81.3
1964,89.3
1965,82
1966,65.3
1967,45
1968,59.8
1969,67.4
1970,37.8
1971,46.8
1972,77.4
1973,71
1974,68.2
1975,46.9
1976,65.6
1977,146.3
1978,80.3
1979,84.7
1980,70.2
1981,70
1982,44.2
1983,84
1984,68
1985,94
1986,80.2
1987,80
1988,107
1989,59.4
1990,68.6
1991,60
1994,60.4
