UF,BA
Cidade,BARREIRAS
Nome Posto,PONTE SERAFIM - MONTANTE
Latitude,-11.89611111111111
Longitude,-45.61194444444445
Codigo,1145013
Qtd. Anos,47
Ano,Maxima
1962,34.6
1963,100
1964,47.2
1972,44.4
1977,72.2
1978,147.2
1979,95
1980,70
1981,100.1
1982,57.3
1983,54
1984,62.2
1985,87.8
1986,60
1987,111.2
1988,92.4
1989,82.5
1990,50
1991,79.7
1992,70.2
1993,65.5
1994,49.5
1995,77.7
1996,68.3
1997,48.9
1998,77.8
1999,80.1
2000,98
2001,48.7
2002,68.5
2003,61
2004,80.4
2005,80.5
2006,73.1
2007,254
2008,80.5
2009,101.6
2010,63.2
2011,65.7
2012,58.7
2013,85
2014,67
2015,71
2016,116.5
2017,66.7
2018,75
2019,66.4
