UF,BA
Cidade,CAMACAN
Nome Posto,FAZENDA NANCY
Latitude,-15.603333333333333
Longitude,-39.51694444444444
Codigo,1539014
Qtd. Anos,57
Ano,Maxima
1963,58.3
1964,47.4
1965,75.5
1966,50.1
1967,25
1968,12
1969,40.3
1970,60.6
1971,36.1
1972,40
1973,25.8
1974,66.8
1975,86.4
1976,75.4
1977,38.6
1978,60.6
1979,74.2
1980,90.4
1981,62.4
1982,37.6
1983,72.8
1984,79.6
1985,101.4
1986,367
1987,43
1988,51.2
1989,73
1990,96.8
1991,75.5
1992,96.7
1993,43.2
1994,58.3
1995,50.5
1996,43.1
1997,76.3
1998,55.5
1999,52.1
2000,75.7
2001,40.4
2002,74
2003,54.9
2004,68.6
2005,96.3
2006,67.6
2007,70.5
2008,47.5
2009,70
2010,70.2
2011,92.3
2012,33.4
2013,71.8
2014,72.7
2015,43.3
2016,111
2017,79.5
2018,81
2019,88.7
