UF,BA
Cidade,GENTIO DO OURO
Nome Posto,SANTO INACIO
Latitude,-11.116666666666667
Longitude,-42.733333333333334
Codigo,1142004
Qtd. Anos,55
Ano,Maxima
1937,42.4
1938,77
1939,69.2
1940,83
1941,99.5
1942,63.3
1943,52
1944,80.2
1945,95.5
1946,51.5
1947,97.5
1948,61.3
1949,102
1950,47.2
1951,93
1952,112.2
1953,43.5
1954,75
1955,85.2
1956,80.7
1957,75.6
1958,150
1959,87.8
1960,127
1961,66
1962,105.4
1963,55.3
1964,40.7
1965,52.2
1966,54
1967,66.5
1968,75.5
1969,77.2
1970,66
1971,80.2
1972,65
1973,53
1974,60.6
1975,90.2
1976,63.6
1977,118.2
1978,90
1979,72.2
1980,48.2
1981,48.2
1982,90.7
1983,67.3
1984,111.6
1985,114.2
1986,64.2
1987,72.5
1988,72.8
1989,72.4
1990,67.2
1991,67.2
