UF,BA
Cidade,SANTA TERESINHA
Nome Posto,SANTA TEREZINHA
Latitude,-12.766666666666667
Longitude,-39.53333333333333
Codigo,1239019
Qtd. Anos,50
Ano,Maxima
1937,28.8
1938,32.8
1939,92.2
1940,77
1941,66.4
1942,55.4
1948,105.9
1949,45
1950,43.3
1951,45.2
1952,36.9
1953,54.7
1954,68.2
1955,43.4
1956,77.9
1957,58.2
1958,91
1959,74.4
1960,29.5
1961,29.6
1962,51.6
1963,72.6
1964,78.9
1965,45.8
1966,72
1967,42.1
1968,72
1969,64
1970,61
1971,25
1972,62.2
1973,45
1974,59.9
1975,60.6
1976,56.2
1977,44
1978,85.2
1979,76
1980,101.4
1981,104.8
1982,44.6
1983,50.1
1984,100
1985,96.8
1986,90.2
1987,100
1988,97
1989,81.2
1990,100
1991,137.2
