UF,BA
Cidade,CURACA
Nome Posto,PROXIMO A CURACA II
Latitude,-9.1225
Longitude,-39.936388888888885
Codigo,939017
Qtd. Anos,43
Ano,Maxima
1977,44
1978,50
1979,49
1980,43.2
1981,32
1982,38
1983,54.4
1984,102.8
1985,87.2
1986,51.4
1987,110
1988,70
1989,116
1990,31.6
1991,75
1992,74.8
1993,33.6
1994,36.6
1995,166.5
1996,116
1997,59.1
1998,55.4
1999,94
2000,47.6
2001,46.1
2002,106.5
2003,74
2004,103
2005,46.6
2006,64.1
2007,90.3
2008,47
2009,67.2
2010,64.5
2011,38.6
2012,32
2013,34.2
2014,40.4
2015,38.8
2016,43
2017,46.3
2018,46.5
2019,63.4
