UF,BA
Cidade,PARIPIRANGA
Nome Posto,PARIPIRANGA
Latitude,-10.688055555555556
Longitude,-37.86
Codigo,1037055
Qtd. Anos,79
Ano,Maxima
1912,48.6
1913,52.2
1914,42.6
1915,41.7
1916,71.5
1917,46.4
1918,58.9
1919,50.2
1920,64.3
1921,67.8
1922,65.6
1923,47.6
1924,66.7
1925,60.1
1926,45.8
1927,49.5
1928,16.3
1929,78.4
1930,35.2
1931,36.8
1932,32.5
1933,50.4
1934,57
1935,62.5
1936,62.9
1937,58.2
1938,65.2
1939,86.5
1940,98.3
1941,59.5
1942,35.4
1943,45.9
1944,82.9
1945,78.7
1946,47.7
1947,66.2
1948,70.7
1949,99.9
1950,62.6
1951,53.3
1952,48.9
1953,85.9
1954,21.7
1955,16.7
1956,37.7
1957,142.6
1958,47.7
1959,26.2
1960,66.5
1961,48.7
1962,103.2
1963,58.3
1964,63.5
1965,38.2
1966,78
1967,70
1968,56
1969,100
1970,37
1971,63.6
1972,48.6
1973,32.8
1974,81
1975,80
1976,70
1977,63
1978,49.9
1979,105
1980,70.7
1981,70
1982,36
1983,56
1984,40
1985,45
1986,87
1987,43.6
1988,84.2
1989,70
1990,21.2
