UF,BA
Cidade,ALCOBACA
Nome Posto,ALCOBACA
Latitude,-17.515555555555554
Longitude,-39.2275
Codigo,1739010
Qtd. Anos,67
Ano,Maxima
1953,131.2
1954,78.6
1955,85.2
1956,122.4
1957,46.7
1958,56.1
1959,28.5
1960,35.8
1961,32.5
1962,38.4
1963,73.5
1964,107.3
1965,63.4
1966,71.2
1967,44.2
1968,89.4
1969,157.3
1970,173.3
1971,154.3
1972,60.4
1973,124.2
1974,62.4
1975,130.1
1976,55.5
1977,56.3
1978,45.3
1979,87.8
1980,76.4
1981,85.9
1982,140.4
1983,75.3
1984,147.3
1985,78.4
1986,138.2
1987,64.1
1988,126.2
1989,100.8
1990,147.4
1991,104.3
1992,107.2
1993,94.1
1994,93.3
1995,148.2
1996,87.4
1997,159.1
1998,129.3
1999,126.8
2000,87.3
2001,90.5
2002,86.3
2003,40.2
2004,118
2005,103.1
2006,60.1
2007,100.9
2008,94.4
2009,80.7
2010,139.5
2011,44.2
2012,124.9
2013,115.1
2014,106.4
2015,109
2016,170.9
2017,120.5
2018,11.3
2019,110.1
