UF,BA
Cidade,ARACAS
Nome Posto,ARACAS
Latitude,-12.210277777777778
Longitude,-38.20055555555556
Codigo,1238010
Qtd. Anos,57
Ano,Maxima
1963,80.2
1964,48.7
1965,35.8
1966,78
1967,75
1968,100.9
1969,125.3
1970,62.2
1971,93.2
1972,127
1973,122.2
1974,67
1975,44.3
1976,56
1977,110
1978,99
1979,45.3
1980,81.3
1981,53.6
1982,93.2
1983,75
1984,170
1985,121.4
1986,64.2
1987,58
1988,78.3
1989,76.1
1990,81.6
1991,94.9
1992,47.7
1993,53.4
1994,75.7
1995,64.5
1996,55.5
1997,62.5
1998,68.5
1999,105.9
2000,80.7
2001,81.9
2002,47.8
2003,83.4
2004,80.6
2005,46.7
2006,138.6
2007,49.2
2008,52.4
2009,77.8
2010,73.8
2011,72.9
2012,159.7
2013,63.4
2014,58.3
2015,66.5
2016,70.5
2017,46.8
2018,55
2019,70.3
