UF,BA
Cidade,SENTO SE
Nome Posto,CAMPO LARGO
Latitude,-10.383333333333333
Longitude,-41.416666666666664
Codigo,1041007
Qtd. Anos,72
Ano,Maxima
1919,33
1920,62.5
1921,69.7
1922,67.3
1923,67
1924,66.8
1925,58.7
1926,64.3
1927,64
1928,59.2
1929,64
1930,89.5
1931,46.8
1932,45.6
1933,55.4
1934,42.6
1935,44.8
1936,49.5
1937,56.5
1938,61.8
1939,69
1940,137
1941,54
1942,64.8
1943,72.1
1944,96.2
1945,86.9
1946,78.4
1947,96.2
1948,78
1949,78.4
1950,54.5
1951,54.1
1952,85.3
1953,100
1954,50.1
1955,120
1956,77
1957,123.2
1958,91
1959,72.4
1960,97.3
1961,62
1962,164.7
1963,80.8
1964,155.2
1965,64
1966,32
1967,48
1968,44.8
1969,60.2
1970,80.8
1971,29.4
1972,80
1973,56.4
1974,75.4
1975,47.1
1976,64.4
1977,75
1978,56.2
1979,75.2
1980,66.3
1981,31.4
1982,62.3
1983,30
1984,50.2
1985,48.4
1987,18.4
1988,55
1989,51
1990,34
1991,85
