UF,BA
Cidade,NAZARE
Nome Posto,NAZARE
Latitude,-13.030833333333334
Longitude,-39.032222222222224
Codigo,1339034
Qtd. Anos,75
Ano,Maxima
1943,26.8
1944,19.2
1945,47
1946,32.6
1947,132.2
1948,108.4
1949,48.5
1950,45.4
1953,80.8
1954,132.2
1955,63.8
1956,114.9
1957,115.9
1958,38.4
1959,68
1960,93
1961,99.3
1962,79.6
1963,83.7
1964,98
1965,186.8
1966,56.6
1967,100.4
1968,85
1969,58.2
1970,60.8
1971,56.8
1972,105
1973,98
1974,66.6
1975,87
1976,63
1977,98.2
1978,106.9
1979,81.2
1980,104.4
1981,101
1982,170
1983,67.3
1984,108.5
1985,98.8
1986,79.9
1987,69
1988,97.6
1989,101.4
1990,83.4
1991,80
1992,56.5
1993,59.6
1994,66.3
1995,133.7
1996,103.8
1997,51.8
1998,114.6
1999,62.3
2000,94.2
2001,61.4
2002,45.9
2003,77.8
2004,82.4
2005,122.7
2006,71.5
2007,111.3
2008,103.1
2009,118.4
2010,110.4
2011,96
2012,77.7
2013,50.6
2014,71.3
2015,79
2016,89.1
2017,58.9
2018,52.2
2019,60.8
