UF,BA
Cidade,IBICARAI
Nome Posto,LOMANTO JUNIOR
Latitude,-14.81027777777778
Longitude,-39.47138888888889
Codigo,1439001
Qtd. Anos,51
Ano,Maxima
1969,8.3
1970,21
1971,27
1972,65
1973,70
1974,85
1975,62
1976,57.3
1977,58.4
1978,35
1979,32
1980,70.4
1981,100
1982,36.4
1983,67
1984,41.9
1985,85.6
1986,30
1987,97.5
1988,100
1989,84.1
1990,58.8
1991,20.7
1992,60.8
1993,46.4
1994,60
1995,102.8
1996,107.6
1997,84.9
1998,116.9
1999,57.9
2000,82.3
2001,73.8
2002,84.7
2003,34.3
2004,29.1
2005,58.5
2006,81.2
2007,198.7
2008,47.7
2009,72.4
2010,48.3
2011,67.2
2012,84.7
2013,30.6
2014,23.4
2015,40
2016,56.1
2017,70.7
2018,138.7
2019,45.4
