UF,BA
Cidade,IBIPEBA
Nome Posto,FAZENDA CABACEIRAS
Latitude,-11.32861111111111
Longitude,-42.305
Codigo,1142017
Qtd. Anos,48
Ano,Maxima
1972,55.4
1973,81.1
1974,74.1
1975,62.2
1976,83
1977,64.4
1978,79
1979,69
1980,65.3
1981,112.3
1982,48.2
1983,48.6
1984,70
1985,314
1986,59
1987,60
1988,56.7
1989,62.3
1990,53.9
1991,48.1
1992,67.8
1993,62.4
1994,60.8
1995,54.7
1996,75
1997,76.7
1998,51.7
1999,87.4
2000,108
2001,45.4
2002,90
2003,49.4
2004,76.2
2005,63.3
2006,92
2007,59.5
2008,113
2009,87.4
2010,57.2
2011,57.5
2012,37.1
2013,71.5
2014,67.8
2015,56
2016,80.1
2017,64.3
2018,90
2019,66.5
