UF,BA
Cidade,SANTA RITA DE CASSIA 
Nome Posto,SANTA RITA DE CASSIA
Latitude,-11.0025
Longitude,-44.52472222222222
Codigo,1144008
Qtd. Anos,73
Ano,Maxima
1919,25.5
1920,64.2
1921,63.7
1922,62.8
1923,55.1
1924,63
1925,62.8
1926,66.8
1927,53.7
1928,58.5
1929,50
1930,66.2
1931,51.5
1932,48.4
1933,62.1
1934,47.7
1935,66.7
1936,64.5
1937,60
1938,60.5
1939,68
1940,66.4
1941,36
1942,63
1943,90
1944,64
1945,58
1946,65.5
1947,64.5
1948,90
1949,57
1950,80
1951,97
1953,80
1954,80
1955,70
1956,106
1957,70
1958,65
1959,39
1960,60
1961,56
1962,91.6
1963,92.6
1964,60.2
1965,59
1966,75
1967,130.3
1968,64
1969,105
1970,59.6
1971,92.3
1972,66
1973,46.2
1974,74
1975,52.5
1976,88
1977,172.4
1978,82.8
1979,81.5
1980,105
1983,37.7
1986,56.8
1987,88.8
1988,77.6
1989,56.1
1992,35.7
1993,86.4
1994,37
1995,58.6
1996,52
1997,105
1998,89.6
