UF,BA
Cidade,MACAJUBA
Nome Posto,MACAJUBA (CAPIVARI)
Latitude,-12.133333333333333
Longitude,-40.35
Codigo,1240020
Qtd. Anos,53
Ano,Maxima
1935,44.6
1936,58.1
1937,170
1938,140
1939,44.9
1940,150.1
1941,50.6
1942,49.8
1943,102.8
1944,83.4
1945,91.1
1946,40
1947,140
1949,119
1950,30
1951,48.2
1952,85
1953,121
1954,62
1955,59
1956,130
1957,84.8
1958,112
1959,82.1
1960,130
1961,28.1
1962,129
1963,90
1964,155
1965,63.4
1966,61.8
1967,64.2
1968,66
1969,60
1970,113.4
1971,76.4
1972,53.2
1973,100.5
1974,108.4
1975,100.8
1976,39.4
1977,129.2
1978,100
1979,130
1980,105.2
1981,70.1
1982,28.2
1983,71.2
1984,91.4
1985,87.8
1986,60
1987,108
1988,80
