UF,BA
Cidade,SEABRA
Nome Posto,SEABRA
Latitude,-12.416666666666666
Longitude,-41.766666666666666
Codigo,1241022
Qtd. Anos,39
Ano,Maxima
1960,96.9
1961,96.9
1963,77.3
1964,134.2
1965,99.3
1966,138.9
1967,91.6
1968,61.2
1969,128
1970,99.1
1971,121.4
1972,90.7
1973,69
1974,59.5
1975,94.5
1976,100
1977,55
1978,50
1979,120
1980,50
1981,90
1982,82
1983,71
1984,100
1985,119
1989,29.4
1990,75.6
1991,80
2001,54.5
2002,83.5
2003,27.8
2005,63.8
2006,55.3
2007,59
2008,34.8
2009,18.3
2010,64.8
2011,16.3
2012,28.5
