UF,BA
Cidade,VALENTE
Nome Posto,VALENTE
Latitude,-11.566666666666666
Longitude,-39.46666666666667
Codigo,1139002
Qtd. Anos,53
Ano,Maxima
1933,23.9
1934,25.5
1935,68
1936,56.8
1937,44.1
1938,49
1939,81.2
1940,134
1941,84.4
1942,78.5
1943,88.9
1944,92.9
1945,30.6
1946,30.1
1947,70.7
1948,46.6
1949,130.2
1950,44.5
1951,60.9
1952,73.5
1953,84.2
1954,45.5
1955,37.5
1956,80.2
1957,87.3
1958,90.5
1959,30.5
1960,133
1961,36.1
1962,58.5
1963,55.3
1964,170.2
1965,93.2
1966,90
1967,73.7
1968,43.1
1969,150.2
1970,72.3
1971,24.2
1972,75.2
1973,65.1
1974,42.1
1975,22.3
1976,104.2
1977,154.9
1979,110.1
1980,51.1
1981,51.3
1982,40.3
1983,51.8
1984,100
1985,111
1986,36.5
