UF,BA
Cidade,TUCANO
Nome Posto,TUCANO
Latitude,-10.966666666666667
Longitude,-38.766666666666666
Codigo,1038015
Qtd. Anos,56
Ano,Maxima
1934,42.5
1935,48
1936,85
1937,69
1938,50
1939,43
1940,45
1941,61
1942,39
1943,45
1944,66.5
1945,96.5
1946,35
1947,67
1948,52
1949,111.5
1950,95
1951,59
1952,75
1953,66.3
1954,36.8
1955,33
1956,62
1957,64
1958,70
1959,38
1960,58.5
1961,29
1962,120
1963,50.8
1964,92
1965,41.2
1966,62.2
1967,37.5
1968,56.2
1969,88.2
1970,31
1971,40.2
1972,88.2
1973,41.5
1974,60.4
1976,30
1977,60
1978,122.4
1979,98.6
1980,70.2
1981,74.4
1983,20
1984,56
1985,80.1
1986,60
1987,40.2
1988,115
1989,5
1990,22.4
1993,70
