UF,BA
Cidade,RIO REAL
Nome Posto,RIO REAL
Latitude,-11.466666666666667
Longitude,-37.93333333333333
Codigo,1137033
Qtd. Anos,80
Ano,Maxima
1913,68
1914,65
1915,68
1916,65
1917,51
1918,65.4
1919,49
1920,67.2
1921,66
1922,50.8
1923,52
1924,48.5
1925,39
1926,48
1927,39
1928,65.2
1929,42.5
1930,68.9
1931,30.3
1932,24.8
1933,15.4
1934,35.2
1935,46.9
1936,17.4
1937,41
1938,67.5
1939,60.2
1940,67.2
1941,57.1
1942,38.4
1943,36.8
1944,67.8
1945,32.6
1946,32.5
1947,66.5
1948,63.2
1949,73.6
1950,49.7
1951,35.4
1952,45.1
1953,43.4
1954,65
1955,25
1956,57.1
1957,22.6
1958,20.6
1959,18.3
1960,54.3
1961,53.3
1962,46.2
1963,64.2
1964,116.2
1965,43
1966,87.4
1967,79
1968,78.6
1969,105
1970,45
1971,50
1972,39
1973,67.4
1974,51
1975,50
1976,81.2
1977,53
1978,56.6
1979,46
1980,100.6
1981,45.8
1982,99.5
1983,50.5
1984,52.4
1985,55.2
1986,53.5
1987,54.3
1988,90
1989,63.2
1990,15.2
1991,80
1994,91.4
