UF,BA
Cidade,NOVA SOURE
Nome Posto,NOVA SOURE
Latitude,-11.233333333333333
Longitude,-38.483333333333334
Codigo,1138001
Qtd. Anos,54
Ano,Maxima
1937,0.6
1938,51.2
1939,48.2
1940,60.8
1941,83.3
1942,49.2
1943,60.2
1944,80
1945,58.4
1946,57.3
1947,53.5
1948,55.4
1949,82.5
1950,35
1951,121.3
1952,57.3
1953,63.2
1954,45.6
1955,80
1956,51.2
1957,50.3
1958,35.4
1959,40.1
1960,79.8
1961,36
1962,107.5
1963,49.9
1964,63
1965,30
1966,45.2
1967,99.2
1968,75.1
1969,63.2
1970,70.1
1971,25.2
1972,42.2
1973,40.6
1974,63.5
1975,70.2
1976,52.1
1977,52.3
1978,71.4
1979,36.1
1980,80.4
1981,65.6
1982,49.5
1983,34.5
1984,55.8
1985,60.3
1986,35.5
1987,30.2
1988,40.2
1989,100
1990,100
