UF,BA
Cidade,CONDE
Nome Posto,CONDE
Latitude,-11.813055555555556
Longitude,-37.61138888888889
Codigo,1137029
Qtd. Anos,55
Ano,Maxima
1943,29.1
1944,105.3
1945,100.4
1946,79.1
1947,108.2
1948,96.8
1949,115.4
1950,59.8
1951,77.5
1952,98.6
1953,58.5
1954,59.3
1955,56
1956,45.9
1957,91
1958,74.4
1959,42.6
1960,71.4
1961,76.3
1962,49.8
1963,45.5
1964,85.7
1965,106
1966,93.2
1967,103.5
1968,142.9
1969,93.9
1970,176.9
1971,96.5
1972,66.5
1973,103.4
1974,73.6
1975,83
1976,90.2
1977,63.8
1978,101.7
1979,90
1980,82.7
1981,53.5
1982,92
1983,200
1984,100
1985,120.4
1986,120
2003,37.8
2005,36.8
2006,71.3
2007,65.5
2008,61.8
2009,123.8
2010,103
2011,89.3
2012,64.3
2013,9.5
2014,27.8
