UF,BA
Cidade,CONDE
Nome Posto,ALTAMIRA (IAA)
Latitude,-11.766666666666667
Longitude,-37.81666666666667
Codigo,1137039
Qtd. Anos,41
Ano,Maxima
1952,101
1953,80
1954,80.1
1955,91
1956,89.4
1957,74.5
1958,80
1959,80.1
1960,65.2
1961,50
1962,80
1963,68.8
1964,126
1965,60
1966,70
1967,101.4
1968,102.5
1969,101.8
1970,100
1971,67.2
1972,54.2
1973,60.3
1974,110.4
1975,48.3
1976,25
1977,25.2
1978,25
1979,25
1980,25.2
1981,80.2
1982,97
1983,110
1984,94.2
1985,167
1986,115
1987,91.2
1988,121
1989,125
1990,86
1991,69.2
1995,25
