UF,BA
Cidade,EUCLIDES DA CUNHA
Nome Posto,EUCLIDES DA CUNHA (CUMBE)
Latitude,-10.5
Longitude,-39.016666666666666
Codigo,1039005
Qtd. Anos,80
Ano,Maxima
1911,5
1912,41.5
1913,46.5
1914,64.8
1915,42.7
1916,104.5
1917,42.1
1918,32.2
1919,67.6
1920,50
1921,72.4
1922,53.2
1923,62.5
1924,74.6
1925,30
1926,48.2
1927,64.3
1928,31.2
1929,59.7
1930,36.7
1931,66.3
1932,63.7
1933,49.5
1934,55.2
1935,44.2
1936,60.5
1937,60
1938,32.5
1939,32.7
1940,52.7
1941,48
1942,61.2
1943,107.5
1944,66
1945,86
1946,37.5
1947,138.7
1948,86.5
1949,139.5
1950,45.5
1951,31.4
1952,77.5
1953,73.2
1954,60.6
1955,35.7
1956,68.2
1957,60.5
1958,102.8
1959,24.6
1960,72.2
1961,48.8
1962,50.2
1963,81.5
1964,81.7
1965,75
1966,60.4
1967,103.2
1968,46.4
1969,77.4
1970,68.2
1971,60.3
1972,41.2
1973,40.5
1974,62.1
1975,97.5
1976,50.4
1977,51.2
1978,107.5
1979,50.4
1980,70.5
1981,102.6
1982,53.2
1983,70.6
1984,52.6
1985,131.8
1986,111.4
1987,57.2
1988,83.2
1989,56.8
1990,62.2
