UF,BA
Cidade,CIPO
Nome Posto,CIPO
Latitude,-11.098055555555556
Longitude,-38.51305555555555
Codigo,1138014
Qtd. Anos,76
Ano,Maxima
1944,80.4
1945,39.2
1946,64.3
1947,70.3
1948,64.1
1949,118
1950,56
1951,91.5
1952,48
1953,94
1954,33
1955,32
1956,85.6
1957,58.4
1958,65
1959,49
1960,59
1961,40
1962,68
1963,130
1964,231.2
1965,45.5
1966,125
1967,103.2
1968,69.3
1969,147.9
1970,100
1971,44.6
1972,90
1973,40
1974,75.9
1975,84.2
1976,58.8
1977,60.4
1978,90
1979,124.2
1980,48
1981,77.4
1982,39.2
1983,37
1984,100.8
1985,68.4
1986,56.2
1987,25.1
1988,112
1989,39.1
1990,25.2
1991,58.6
1992,32.5
1993,30.2
1994,22.8
1995,86.1
1996,33.3
1997,48
1998,94.3
1999,36.4
2000,55.2
2001,56.6
2002,40.6
2003,90.5
2004,131.4
2005,39.8
2006,36.8
2007,45.9
2008,85.8
2009,52.4
2010,62.1
2011,59.6
2012,28.5
2013,48
2014,33
2015,22.5
2016,93.3
2017,49.4
2018,62.8
2019,57
